Id,fecha_venta,tipo_venta,empleado,categoria,total,es_entregado
227,2023-08-30,web,Luis,ropa,35.05,1
228,2023-02-14,web,,hogar,64.6,1
229,2023-07-20,WhatsApp,,deportes,,1
230,2023-09-11,WhatsApp,Sofía,tecnológico,0.0,0
231,2023-06-07,WhatsApp,,ropa,117.12,1
232,2023-12-29,web,Carlos,muebles,,1
233,2023-10-25,WhatsApp,Carlos,ropa,34.41,1
234,2023-01-01,web,Carlos,ropa,101.6,1
235,2023-01-22,WhatsApp,María,tecnológico,0.0,0
236,2023-02-08,WhatsApp,Luis,deportes,16.55,1
237,2023-03-19,WhatsApp,Sofía,muebles,117.68,1
238,2023-11-17,WhatsApp,Juan,hogar,47.87,1
239,2023-07-29,WhatsApp,Luis,hogar,136.74,1
240,2023-02-22,WhatsApp,Luis,ropa,205.8,1
241,2023-05-11,web,,muebles,444.95,1
242,2023-11-01,WhatsApp,Carlos,muebles,227.7,1
243,2023-11-11,web,Ana,tecnológico,904.25,1
244,2023-11-10,WhatsApp,Sofía,muebles,291.69,1
245,2023-09-12,WhatsApp,Ana,hogar,0.0,0
246,2023-10-23,WhatsApp,Ana,tecnológico,64.7,1
247,2023-07-07,WhatsApp,Sofía,deportes,130.17,1
248,2023-02-27,WhatsApp,María,tecnológico,,1
249,2023-02-07,web,,muebles,662.45,1
250,2023-05-01,WhatsApp,Ana,hogar,61.3,1
251,2023-03-15,WhatsApp,Luis,hogar,239.65,1
252,2023-02-05,WhatsApp,Ana,hogar,106.9,1
253,2023-08-21,web,Ana,ropa,21.26,1
254,2023-03-27,WhatsApp,Ana,ropa,19.83,1
255,2023-09-05,web,Juan,tecnológico,73.11,1
256,2023-07-22,web,Carlos,hogar,,1
257,2023-06-07,WhatsApp,Juan,deportes,,1
258,2023-08-11,web,Sofía,ropa,0.0,0
259,2023-05-19,WhatsApp,Sofía,ropa,0.0,0
260,2023-10-15,web,Carlos,hogar,,1
261,2023-05-07,WhatsApp,Carlos,ropa,106.7,1
262,2023-04-01,web,Sofía,deportes,,1
263,2023-03-24,WhatsApp,Sofía,tecnológico,11.1,1
264,2023-02-20,WhatsApp,Sofía,hogar,365.64,1
265,2023-12-17,WhatsApp,Carlos,ropa,110.35,1
266,2023-09-08,web,Luis,ropa,0.0,0
267,2023-11-08,WhatsApp,Carlos,tecnológico,162.38,1
268,2023-09-28,WhatsApp,Ana,deportes,65.09,1
269,2023-02-02,WhatsApp,Sofía,muebles,28.13,1
270,2023-11-08,web,Juan,tecnológico,,1
271,2023-08-10,web,Juan,ropa,455.55,1
272,2023-04-11,web,Carlos,hogar,91.02,1
273,2023-06-14,web,Luis,ropa,111.48,1
274,2023-01-24,WhatsApp,Ana,deportes,,1
275,2023-05-03,web,Sofía,hogar,0.0,0
276,2023-02-26,web,Ana,ropa,145.62,1
277,2023-09-20,web,Carlos,tecnológico,300.28,1
278,2023-01-20,web,Ana,deportes,0.0,0
279,2023-03-23,WhatsApp,María,tecnológico,101.88,1
280,2023-12-03,WhatsApp,,muebles,55.97,1
281,2023-05-08,WhatsApp,Sofía,hogar,433.93,1
282,2023-12-13,WhatsApp,Ana,muebles,83.11,1
283,2023-02-27,web,Carlos,ropa,0.0,0
284,2023-04-30,WhatsApp,Ana,hogar,,1
285,2023-02-21,web,Juan,muebles,153.53,1
286,2023-12-07,web,Juan,deportes,26.68,1
287,2023-01-16,WhatsApp,Juan,tecnológico,0.0,0
288,2023-12-23,web,Juan,hogar,62.19,1
289,2023-04-03,web,Carlos,tecnológico,32.55,1
290,2023-08-27,web,Luis,hogar,73.34,1
291,2023-02-20,web,María,hogar,140.56,1
292,2023-03-09,web,Luis,hogar,1099.76,1
293,2023-10-04,WhatsApp,Juan,muebles,,1
294,2023-04-27,WhatsApp,Carlos,deportes,955.11,1
295,2023-06-27,web,María,ropa,0.0,0
296,2023-11-02,web,Carlos,tecnológico,1680.9,1
297,2023-11-23,WhatsApp,,muebles,126.04,1
298,2023-02-08,web,,ropa,372.39,1
299,2023-01-25,WhatsApp,María,deportes,148.08,1
300,2023-06-04,WhatsApp,María,ropa,0.0,0
301,2023-10-22,web,Luis,tecnológico,40.11,1
302,2023-12-08,WhatsApp,Carlos,muebles,648.58,1
303,2023-10-20,web,Ana,muebles,133.69,1
304,2023-03-14,web,Luis,hogar,88.34,1
305,2023-01-28,WhatsApp,Luis,ropa,72.13,1
306,2023-12-06,web,María,deportes,85.06,1
307,2023-04-27,web,Ana,hogar,364.07,1
308,2023-11-29,WhatsApp,Juan,hogar,88.06,1
309,2023-06-18,WhatsApp,Juan,hogar,529.37,1
310,2023-12-13,web,Juan,hogar,51.44,1
311,2023-02-07,WhatsApp,Carlos,tecnológico,52.0,1
312,2023-02-11,web,Juan,hogar,1146.04,1
313,2023-08-25,web,Sofía,muebles,267.01,1
314,2023-03-19,web,Luis,muebles,,1
315,2023-12-13,web,Ana,tecnológico,,1
316,2023-09-26,web,María,muebles,,1
317,2023-05-21,WhatsApp,María,ropa,140.73,1
318,2023-11-11,web,Carlos,muebles,,1
319,2023-07-06,web,Carlos,tecnológico,146.82,1
320,2023-06-05,WhatsApp,Juan,hogar,119.26,1
321,2023-05-07,web,Luis,hogar,,1
322,2023-07-24,WhatsApp,Ana,hogar,15.31,1
323,2023-04-28,WhatsApp,Juan,ropa,,1
324,2023-09-19,web,Juan,deportes,116.84,1
325,2023-09-27,web,Juan,hogar,96.76,1
326,2023-10-14,WhatsApp,Carlos,tecnológico,0.0,0
327,2023-10-13,WhatsApp,Ana,tecnológico,0.0,0
328,2023-11-20,web,Luis,muebles,,1
329,2023-03-09,WhatsApp,Sofía,ropa,59.13,1
330,2023-11-21,web,Carlos,deportes,0.0,0
331,2023-07-19,WhatsApp,Carlos,hogar,133.6,1
332,2023-12-25,web,Carlos,tecnológico,114.29,1
333,2023-09-24,WhatsApp,Ana,ropa,39.84,1
334,2023-06-22,web,,muebles,,1
335,2023-08-17,web,Sofía,muebles,13.36,1
336,2023-08-27,WhatsApp,Juan,muebles,20.44,1
337,2023-03-16,web,Carlos,hogar,0.0,0
338,2023-07-24,WhatsApp,Sofía,ropa,45.85,1
339,2023-04-20,web,Luis,tecnológico,116.14,1
340,2023-03-15,WhatsApp,Luis,tecnológico,144.23,1
341,2023-05-30,web,Sofía,tecnológico,22.25,1
342,2023-03-24,WhatsApp,Sofía,muebles,0.0,0
343,2023-06-01,web,Carlos,muebles,16.51,1
344,2023-07-23,web,Carlos,tecnológico,31.67,1
345,2023-01-01,web,Juan,tecnológico,71.66,1
346,2023-12-09,web,María,tecnológico,,1
347,2023-12-31,web,Juan,tecnológico,0.0,0
348,2023-11-22,web,Juan,ropa,0.0,0
349,2023-04-27,WhatsApp,Sofía,ropa,127.78,1
350,2023-03-03,web,María,tecnológico,0.0,0
351,2023-06-23,WhatsApp,Ana,tecnológico,0.0,0
352,2023-02-25,WhatsApp,María,hogar,421.05,1
353,2023-02-11,WhatsApp,Carlos,hogar,2333.47,1
354,2023-07-27,web,María,deportes,0.0,0
355,2023-01-02,web,Sofía,tecnológico,2144.14,1
356,2023-12-15,web,Sofía,ropa,131.16,1
357,2023-11-11,WhatsApp,María,ropa,665.25,1
358,2023-02-23,WhatsApp,María,muebles,129.45,1
359,2023-06-22,WhatsApp,Carlos,hogar,78.04,1
360,2023-02-21,web,María,tecnológico,98.16,1
361,2023-04-15,web,Ana,hogar,112.78,1
362,2023-08-25,web,Sofía,ropa,0.0,0
363,2023-03-23,WhatsApp,Sofía,deportes,75.64,1
364,2023-12-27,web,Juan,ropa,144.93,1
365,2023-10-01,web,Sofía,hogar,1323.32,1
366,2023-11-23,web,Juan,muebles,71.93,1
367,2023-09-23,web,Luis,ropa,148.79,1
368,2023-03-30,web,María,hogar,92.89,1
369,2023-12-28,WhatsApp,Ana,deportes,74.59,1
370,2023-11-18,web,Carlos,muebles,339.74,1
371,2023-05-08,WhatsApp,Luis,hogar,114.04,1
372,2023-09-04,web,Ana,deportes,130.52,1
373,2023-04-06,WhatsApp,Sofía,ropa,401.77,1
374,2023-05-01,web,,deportes,346.16,1
375,2023-01-05,web,Carlos,ropa,52.15,1
376,2023-02-11,web,Luis,deportes,51.12,1
377,2023-12-01,WhatsApp,Sofía,deportes,46.52,1
378,2023-05-15,web,Luis,deportes,0.0,0
379,2023-09-22,WhatsApp,Ana,ropa,564.75,1
380,2023-04-24,WhatsApp,Sofía,tecnológico,0.0,0
381,2023-03-05,web,María,muebles,11.43,1
382,2023-02-12,WhatsApp,Ana,tecnológico,0.0,0
383,2023-04-27,web,Luis,ropa,82.32,1
384,2023-03-02,web,Carlos,deportes,486.97,1
385,2023-09-20,WhatsApp,Sofía,muebles,149.88,1
386,2023-09-11,WhatsApp,María,muebles,0.0,0
387,2023-05-21,WhatsApp,María,muebles,0.0,0
388,2023-03-07,web,Ana,deportes,0.0,0
389,2023-08-09,WhatsApp,Carlos,hogar,34.32,1
390,2023-02-17,web,Sofía,muebles,,1
391,2023-09-10,web,Carlos,deportes,285.4,1
392,2023-11-08,WhatsApp,Carlos,deportes,,1
393,2023-06-09,web,María,deportes,74.33,1
394,2023-01-20,web,,muebles,17.61,1
395,2023-11-19,web,Sofía,deportes,101.02,1
396,2023-08-04,WhatsApp,Luis,ropa,71.51,1
397,2023-10-10,WhatsApp,María,muebles,57.95,1
398,2023-06-15,WhatsApp,Sofía,ropa,76.23,1
399,2023-10-21,web,Ana,deportes,204.01,1
400,2023-12-20,web,María,deportes,44.27,1
401,2023-03-19,web,Carlos,tecnológico,0.0,0
402,2023-03-07,web,Sofía,tecnológico,111.56,1
403,2023-09-07,WhatsApp,Juan,hogar,56.53,1
404,2023-07-13,web,Luis,ropa,26.97,1
405,2023-03-26,WhatsApp,Ana,ropa,744.05,1
406,2023-11-28,WhatsApp,Sofía,hogar,100.99,1
407,2023-02-14,WhatsApp,Luis,tecnológico,0.0,0
408,2023-04-23,WhatsApp,María,hogar,79.77,1
409,2023-09-29,WhatsApp,Sofía,muebles,66.09,1
410,2023-06-14,web,Ana,deportes,0.0,0
411,2023-05-30,WhatsApp,María,muebles,28.43,1
412,2023-03-01,web,Juan,tecnológico,59.77,1
413,2023-03-24,WhatsApp,Ana,hogar,,1
414,2023-01-26,web,María,hogar,0.0,0
415,2023-06-12,WhatsApp,Juan,muebles,,1
416,2023-01-10,WhatsApp,Ana,tecnológico,53.55,1
417,2023-03-24,WhatsApp,Luis,tecnológico,48.06,1
418,2023-08-20,WhatsApp,María,deportes,0.0,0
419,2023-08-06,WhatsApp,Sofía,ropa,44.02,1
420,2023-01-17,WhatsApp,Sofía,deportes,91.43,1
421,2023-03-22,WhatsApp,María,muebles,324.38,1
422,2023-05-22,web,Sofía,tecnológico,25.16,1
423,2023-08-14,WhatsApp,Luis,ropa,0.0,0
424,2023-11-27,web,Sofía,deportes,83.3,1
425,2023-10-06,WhatsApp,Sofía,deportes,0.0,0
426,2023-06-08,web,Sofía,tecnológico,137.56,1
427,2023-07-29,WhatsApp,Ana,ropa,2054.79,1
428,2023-03-01,WhatsApp,Sofía,ropa,74.8,1
429,2023-07-04,WhatsApp,Juan,deportes,20.33,1
430,2023-08-12,web,Juan,deportes,557.64,1
431,2024-01-01,web,Ana,tecnológico,34.02,1
432,2023-04-29,web,Juan,tecnológico,120.96,1
433,2023-02-06,WhatsApp,María,deportes,125.55,1
434,2023-01-21,web,Sofía,tecnológico,91.08,1
435,2023-01-06,web,Sofía,ropa,270.3,1
436,2023-01-24,WhatsApp,Luis,ropa,,1
437,2023-09-06,web,Ana,deportes,60.6,1
438,2023-09-03,WhatsApp,Juan,deportes,71.67,1
439,2023-08-27,WhatsApp,Ana,deportes,898.68,1
440,2023-11-02,WhatsApp,Luis,muebles,20.42,1
441,2023-12-01,WhatsApp,Ana,ropa,46.0,1
442,2024-01-01,web,Ana,tecnológico,144.64,1
443,2023-12-27,WhatsApp,María,deportes,0.0,0
444,2023-10-09,web,Juan,ropa,99.42,1
445,2023-10-20,web,Juan,tecnológico,0.0,0
446,2023-05-31,WhatsApp,Sofía,ropa,22.03,1
447,2023-06-12,web,Sofía,deportes,61.35,1
448,2023-04-19,WhatsApp,Juan,tecnológico,0.0,0
449,2023-10-13,WhatsApp,Ana,muebles,596.25,1
450,2023-06-16,web,María,ropa,0.0,0
451,2023-08-02,web,Juan,muebles,141.9,1
452,2023-02-14,web,Sofía,ropa,,1
453,2023-06-13,web,Sofía,ropa,2749.09,1
454,2023-08-10,WhatsApp,Juan,tecnológico,636.55,1
455,2023-02-06,web,Carlos,muebles,118.41,1
456,2023-03-13,WhatsApp,Juan,ropa,,1
457,2023-01-15,WhatsApp,Luis,hogar,,1
458,2023-09-13,WhatsApp,Sofía,hogar,84.3,1
459,2023-06-04,WhatsApp,Ana,deportes,88.54,1
460,2023-12-30,WhatsApp,Juan,hogar,94.5,1
461,2023-10-29,web,Carlos,deportes,66.89,1
462,2023-07-21,web,Juan,ropa,1301.83,1
463,2023-02-03,WhatsApp,María,ropa,129.0,1
464,2023-04-19,WhatsApp,Juan,tecnológico,17.52,1
465,2023-03-02,WhatsApp,Carlos,deportes,578.63,1
466,2023-04-02,web,,deportes,0.0,0
467,2023-12-09,web,Sofía,muebles,45.82,1
468,2023-05-15,web,Juan,muebles,95.24,1
469,2023-03-13,WhatsApp,,ropa,105.44,1
470,2023-09-28,web,Juan,muebles,,1
471,2023-03-31,web,Carlos,muebles,81.98,1
472,2023-03-05,WhatsApp,Sofía,muebles,21.69,1
473,2023-08-19,WhatsApp,,tecnológico,592.58,1
474,2023-04-23,WhatsApp,María,deportes,93.69,1
475,2023-05-08,web,Luis,ropa,114.5,1
476,2023-12-27,WhatsApp,Carlos,ropa,110.99,1
477,2023-10-10,WhatsApp,María,ropa,51.76,1
478,2023-09-16,web,Juan,ropa,99.7,1
479,2023-07-12,web,Luis,muebles,,1
480,2023-01-03,WhatsApp,Ana,tecnológico,135.8,1
481,2023-05-05,web,Luis,ropa,1130.52,1
482,2023-07-12,web,Ana,tecnológico,300.72,1
483,2023-01-16,WhatsApp,Luis,hogar,141.36,1
484,2023-01-12,WhatsApp,Sofía,ropa,460.86,1
485,2023-01-14,WhatsApp,Luis,hogar,0.0,0
486,2023-02-18,WhatsApp,Luis,tecnológico,0.0,0
487,2023-01-11,web,,hogar,,1
488,2023-08-28,web,Sofía,muebles,0.0,0
489,2023-08-11,WhatsApp,Ana,ropa,21.12,1
490,2023-06-19,WhatsApp,Ana,muebles,1716.82,1
491,2023-11-06,WhatsApp,Ana,muebles,0.0,0
492,2023-04-18,web,Sofía,tecnológico,0.0,0
493,2023-03-25,WhatsApp,María,ropa,0.0,0
494,2023-02-21,WhatsApp,Ana,deportes,114.62,1
495,2023-02-12,web,Juan,muebles,121.32,1
496,2023-03-27,WhatsApp,Sofía,tecnológico,758.92,1
497,2023-08-24,web,Juan,deportes,89.49,1
498,2023-12-11,WhatsApp,,ropa,477.74,1
499,2023-10-19,WhatsApp,Sofía,ropa,112.64,1
500,2023-07-23,WhatsApp,María,deportes,32.15,1
501,2023-03-24,web,Juan,hogar,133.28,1
502,2023-06-28,WhatsApp,,ropa,132.81,1
503,2023-08-23,web,Luis,hogar,,1
504,2023-03-20,WhatsApp,Carlos,ropa,226.8,1
505,2023-09-09,WhatsApp,Luis,deportes,96.33,1
